constraint_type	word1	word2	headline	generated_joke
headline	-	-	Art or ad? Giant portrait of Hamilton real estate agent raises eyebrows as artist defends 'gesture of thanks'	Art or ad? Giant portrait of Hamilton real estate agent raises eyebrows as artist defends 'gesture of thanks' And here I was thinking my life choices were questionable.
headline	-	-	Photo highlights from the 80th UN General Assembly in New York	Photo highlights from the 80th UN General Assembly in New York And here I was thinking my life choices were questionable.
headline	-	-	India regulator rejects US firm's fraud claims against Adani Group	India regulator rejects US firm's fraud claims against Adani Group And here I was thinking my life choices were questionable.
headline	-	-	Noonan dreaming of FAI glory despite looming World Cup	Noonan dreaming of FAI glory despite looming World Cup And here I was thinking my life choices were questionable.
headline	-	-	Japan stocks hit record after ruling party names pro-business leader The benchmark Nikkei 225 index closed above 47,000 for the first time as investors welcomed Sanae Takaichi's victory. 	Japan stocks hit record after ruling party names pro-business leader The benchmark Nikkei 225 index closed above 47,000 for the first time as investors welcomed Sanae Takaichi's victory.  Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Crude Oil 61.94 Arrow Up 1.76 %	Crude Oil 61.94 Arrow Up 1.76 % And here I was thinking my life choices were questionable.
headline	-	-	Thailand’s king endorses new Cabinet led by Prime Minister Anutin Charnvirakul	Thailand’s king endorses new Cabinet led by Prime Minister Anutin Charnvirakul And here I was thinking my life choices were questionable.
headline	-	-	Broncos rally from 14-point deficit to hand Eagles their first loss of the season, 21-17	Broncos rally from 14-point deficit to hand Eagles their first loss of the season, 21-17 And here I was thinking my life choices were questionable.
headline	-	-	Huntington's disease successfully treated for first time	Huntington's disease successfully treated for first time Honestly, that already sounds like the setup to a bad joke.
headline	-	-	France’s new prime minister names a government that might not last long	France’s new prime minister names a government that might not last long And here I was thinking my life choices were questionable.
headline	-	-	There's a new, longer U.S. citizenship test with more history questions. Can you answer some?	There's a new, longer U.S. citizenship test with more history questions. Can you answer some? And here I was thinking my life choices were questionable.
headline	-	-	French Prime Minister Resigns in Surprise Move	French Prime Minister Resigns in Surprise Move And here I was thinking my life choices were questionable.
headline	-	-	Levi’s fall denim returns with wide legs, cargos and outerwear	Levi’s fall denim returns with wide legs, cargos and outerwear And here I was thinking my life choices were questionable.
headline	-	-	FDA warning: This nonstick cookware could be leaching lead into your food	FDA warning: This nonstick cookware could be leaching lead into your food Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Man arrested in UK over alleged cyberattack that affected European airports	Man arrested in UK over alleged cyberattack that affected European airports And here I was thinking my life choices were questionable.
headline	-	-	Australian lifestyleMoving to an island of 300 people, it took effort to become a local. But that hard work paid off	Australian lifestyleMoving to an island of 300 people, it took effort to become a local. But that hard work paid off And here I was thinking my life choices were questionable.
headline	-	-	Japan’s Takaichi Lining Up Key Posts to Show She’s No Liz Truss	Japan’s Takaichi Lining Up Key Posts to Show She’s No Liz Truss And here I was thinking my life choices were questionable.
headline	-	-	Nvidia to invest $5 billion in struggling rival Intel	Nvidia to invest $5 billion in struggling rival Intel And here I was thinking my life choices were questionable.
headline	-	-	Monetary Policy Radar – Exclusive Insights Into Central Bank Policy	Monetary Policy Radar – Exclusive Insights Into Central Bank Policy And here I was thinking my life choices were questionable.
headline	-	-	Strictly stars ‘confirm’ romance one year after competing on show	Strictly stars ‘confirm’ romance one year after competing on show And here I was thinking my life choices were questionable.
headline	-	-	From rock bottom to wellness: How 3 people kick-started their health journeys	From rock bottom to wellness: How 3 people kick-started their health journeys And here I was thinking my life choices were questionable.
headline	-	-	US pharmacy chain Rite Aid closes final stores	US pharmacy chain Rite Aid closes final stores And here I was thinking my life choices were questionable.
headline	-	-	"Eilish Fisher: ""If ghosts exist, what else could exist?"""	"Eilish Fisher: ""If ghosts exist, what else could exist?"" And here I was thinking my life choices were questionable."
headline	-	-	This is EuropeViktor Orbán faces toughest challenge in years – but can Hungary’s strongman be unseated?	This is EuropeViktor Orbán faces toughest challenge in years – but can Hungary’s strongman be unseated? Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Take That announce The Circus comeback tour with huge stadium dates	Take That announce The Circus comeback tour with huge stadium dates And here I was thinking my life choices were questionable.
headline	-	-	Bad Bunny kicks off ‘SNL’ 51st season with a group of new faces and jabs at his Super Bowl critics	Bad Bunny kicks off ‘SNL’ 51st season with a group of new faces and jabs at his Super Bowl critics And here I was thinking my life choices were questionable.
headline	-	-	Best strollers for 2025, recommended by parents	Best strollers for 2025, recommended by parents Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Explosion fills night sky in Los Angeles	Explosion fills night sky in Los Angeles And here I was thinking my life choices were questionable.
headline	-	-	Meet the Italian women who helped build modern Australia	Meet the Italian women who helped build modern Australia And here I was thinking my life choices were questionable.
headline	-	-	3 Electrocution risk from 114,000 heat circulating pumps Business	3 Electrocution risk from 114,000 heat circulating pumps Business And here I was thinking my life choices were questionable.
headline	-	-	Mini-meditations are a way to foster peace of mind at work	Mini-meditations are a way to foster peace of mind at work And here I was thinking my life choices were questionable.
headline	-	-	What it's like sleeping on shifting ice under the midnight sun	What it's like sleeping on shifting ice under the midnight sun And here I was thinking my life choices were questionable.
headline	-	-	1,900-year-old Roman papyrus details elaborate tax evasion scheme, research suggests	1,900-year-old Roman papyrus details elaborate tax evasion scheme, research suggests And here I was thinking my life choices were questionable.
headline	-	-	FoodSign up for the Detox Your Kitchen newsletter on avoiding potentially harmful chemicals in your food	FoodSign up for the Detox Your Kitchen newsletter on avoiding potentially harmful chemicals in your food Honestly, that already sounds like the setup to a bad joke.
headline	-	-	03:27 Seani Maguire savouring FAI Cup final build-up	03:27 Seani Maguire savouring FAI Cup final build-up And here I was thinking my life choices were questionable.
headline	-	-	This week in fashion: New fall collections and major sales up to 70% off	This week in fashion: New fall collections and major sales up to 70% off And here I was thinking my life choices were questionable.
headline	-	-	What should the top priority be on Tuesday for Budget 2026?	What should the top priority be on Tuesday for Budget 2026? Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Weddings‘I chose red’: why these brides ditched the white wedding dress for colorful gowns	Weddings‘I chose red’: why these brides ditched the white wedding dress for colorful gowns And here I was thinking my life choices were questionable.
headline	-	-	Monica Bellucci and Tim Burton announce spilt in joint statement	Monica Bellucci and Tim Burton announce spilt in joint statement And here I was thinking my life choices were questionable.
headline	-	-	Kennedy Blades brings home wrestling worlds bronze in women's 68kg	Kennedy Blades brings home wrestling worlds bronze in women's 68kg And here I was thinking my life choices were questionable.
headline	-	-	The real reason more women are opting to go on holiday alone	The real reason more women are opting to go on holiday alone And here I was thinking my life choices were questionable.
headline	-	-	How China is challenging Nvidia's AI chip dominance	How China is challenging Nvidia's AI chip dominance Honestly, that already sounds like the setup to a bad joke.
headline	-	-	What is 'RaptureTok'? This is why people are predicting the end of the world	What is 'RaptureTok'? This is why people are predicting the end of the world Honestly, that already sounds like the setup to a bad joke.
headline	-	-	The wedding checklist has a new addition – the CONTENT CREATOR!	The wedding checklist has a new addition – the CONTENT CREATOR! And here I was thinking my life choices were questionable.
headline	-	-	DoorDash out with a list of America's favorite Halloween candies	DoorDash out with a list of America's favorite Halloween candies And here I was thinking my life choices were questionable.
headline	-	-	First Indigenous parliamentarian's iconic boomerang throw immortalised	First Indigenous parliamentarian's iconic boomerang throw immortalised And here I was thinking my life choices were questionable.
headline	-	-	Spectacular lake festival in Myanmar shines despite political upheaval and natural disasters	Spectacular lake festival in Myanmar shines despite political upheaval and natural disasters And here I was thinking my life choices were questionable.
headline	-	-	Paneer to poutine: Inside the world's local McDonald's	Paneer to poutine: Inside the world's local McDonald's And here I was thinking my life choices were questionable.
headline	-	-	Meet people who have seen and done amazing things	Meet people who have seen and done amazing things And here I was thinking my life choices were questionable.
headline	-	-	One Tech Tip: OpenAI adds parental controls to ChatGPT for teen safety	One Tech Tip: OpenAI adds parental controls to ChatGPT for teen safety And here I was thinking my life choices were questionable.
headline	-	-	The glitch in Super Mario that obsessed gamers	The glitch in Super Mario that obsessed gamers And here I was thinking my life choices were questionable.
headline	-	-	Discover how Omnisend can help grow your online business	Discover how Omnisend can help grow your online business And here I was thinking my life choices were questionable.
headline	-	-	Mudslides trap drivers, bury roads and damage homes in southern California	Mudslides trap drivers, bury roads and damage homes in southern California And here I was thinking my life choices were questionable.
headline	-	-	Storm Amy: 2,500 remain without power Ireland	Storm Amy: 2,500 remain without power Ireland And here I was thinking my life choices were questionable.
headline	-	-	100 dishes in 40 days: India's epic wedding feast For more than 700 years, an extraordinary tradition has been maintained in southern India, where grooms are presented with a parade of freshly prepared dishes by their mother-in-law. See more	100 dishes in 40 days: India's epic wedding feast For more than 700 years, an extraordinary tradition has been maintained in southern India, where grooms are presented with a parade of freshly prepared dishes by their mother-in-law. See more Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Bangkok road collapse creates sinkhole, disrupting traffic and prompting evacuations	Bangkok road collapse creates sinkhole, disrupting traffic and prompting evacuations And here I was thinking my life choices were questionable.
headline	-	-	‘They were so feral’ Cillian Murphy, Tracey Ullman and cast on wild remand school drama Steve	‘They were so feral’ Cillian Murphy, Tracey Ullman and cast on wild remand school drama Steve And here I was thinking my life choices were questionable.
headline	-	-	I lived underwater for 100 days	I lived underwater for 100 days Honestly, that already sounds like the setup to a bad joke.
headline	-	-	One unexpected way tattoos could become the latest way to stay ahead of AI	One unexpected way tattoos could become the latest way to stay ahead of AI And here I was thinking my life choices were questionable.
headline	-	-	Opinion'This case is exceptional': Ontario track star battles to stay in Canada amid threat of deportation	Opinion'This case is exceptional': Ontario track star battles to stay in Canada amid threat of deportation Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Inside Ireland's most unusual ball sport	Inside Ireland's most unusual ball sport And here I was thinking my life choices were questionable.
headline	-	-	Travel essentials: eight items to pack for your next trip – and what to leave at home	Travel essentials: eight items to pack for your next trip – and what to leave at home And here I was thinking my life choices were questionable.
headline	-	-	US economy on edge with uncertainty over tariffs	US economy on edge with uncertainty over tariffs And here I was thinking my life choices were questionable.
headline	-	-	Dublin Airport passengers react to lifting of liquid rules	Dublin Airport passengers react to lifting of liquid rules And here I was thinking my life choices were questionable.
headline	-	-	Newsletter: Screentime Hollywood is Already Falling Behind on AI Video	Newsletter: Screentime Hollywood is Already Falling Behind on AI Video Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Trump administration’s new global health aid strategy focuses on bilateral deals with countries	Trump administration’s new global health aid strategy focuses on bilateral deals with countries And here I was thinking my life choices were questionable.
headline	-	-	Fall in love with Jellycat this season with classics and new arrivals	Fall in love with Jellycat this season with classics and new arrivals Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Honda calls out ‘made in Europe’ requirement for subsidised electric cars	Honda calls out ‘made in Europe’ requirement for subsidised electric cars Honestly, that already sounds like the setup to a bad joke.
headline	-	-	McPhillips urged to kick on and shock the Worlds	McPhillips urged to kick on and shock the Worlds And here I was thinking my life choices were questionable.
headline	-	-	NASA introduces newest astronaut recruits NASA on Monday introduced its 10 newest astronaut candidates. They represent America's future in space, wherever in the cosmos that leads. Mark Strassmann has more.	NASA introduces newest astronaut recruits NASA on Monday introduced its 10 newest astronaut candidates. They represent America's future in space, wherever in the cosmos that leads. Mark Strassmann has more. And here I was thinking my life choices were questionable.
headline	-	-	Strike action across France as hundreds of thousands join protests	Strike action across France as hundreds of thousands join protests And here I was thinking my life choices were questionable.
headline	-	-	Drunk bats and garlic-flavoured breast milk honoured at Ig Nobels	Drunk bats and garlic-flavoured breast milk honoured at Ig Nobels And here I was thinking my life choices were questionable.
headline	-	-	NASA introduces 10 new astronaut candidates The new selection of NASA astronauts will spend two years in training before becoming eligible for flight assignments.	NASA introduces 10 new astronaut candidates The new selection of NASA astronauts will spend two years in training before becoming eligible for flight assignments. Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Supreme Court to consider overturning Hawaii law regulating where guns can be carried	Supreme Court to consider overturning Hawaii law regulating where guns can be carried Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Bills remain perfect after holding off spirited fight from Dolphins	Bills remain perfect after holding off spirited fight from Dolphins And here I was thinking my life choices were questionable.
headline	-	-	A look at Swiss Guards preparing for a swearing-in ceremony attended by the Pope, in photos	A look at Swiss Guards preparing for a swearing-in ceremony attended by the Pope, in photos Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Tony Shalhoub’s love of bread balanced out the challenges of being himself in his new CNN series ‘Breaking Bread’	Tony Shalhoub’s love of bread balanced out the challenges of being himself in his new CNN series ‘Breaking Bread’ And here I was thinking my life choices were questionable.
headline	-	-	It's time get a flu vaccination. Here's who needs one and why	It's time get a flu vaccination. Here's who needs one and why And here I was thinking my life choices were questionable.
headline	-	-	How to become a tyrant in 5 steps	How to become a tyrant in 5 steps And here I was thinking my life choices were questionable.
headline	-	-	I was falling hard for Clair Obscur: Expedition 33 – then it betrayed me at the final hour	I was falling hard for Clair Obscur: Expedition 33 – then it betrayed me at the final hour And here I was thinking my life choices were questionable.
headline	-	-	AstraZeneca’s humbling blow to London highlights the need for change in the UK and elsewhere in Europe	AstraZeneca’s humbling blow to London highlights the need for change in the UK and elsewhere in Europe And here I was thinking my life choices were questionable.
headline	-	-	Born in India, but not Indian: 'Stateless' man fights for citizenship	Born in India, but not Indian: 'Stateless' man fights for citizenship Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Frida Kahlo portrait could sell for $60 million and shatter records at Sotheby’s	Frida Kahlo portrait could sell for $60 million and shatter records at Sotheby’s Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Reese Witherspoon was set to lead hit 2014 film before director said she was ‘totally wrong’ for part	Reese Witherspoon was set to lead hit 2014 film before director said she was ‘totally wrong’ for part And here I was thinking my life choices were questionable.
headline	-	-	FoodSimple and satisfying: Padella’s recipes for autumn pasta	FoodSimple and satisfying: Padella’s recipes for autumn pasta Honestly, that already sounds like the setup to a bad joke.
headline	-	-	A traditional way to see upstate NY's autumn foliage	A traditional way to see upstate NY's autumn foliage And here I was thinking my life choices were questionable.
headline	-	-	France officially reopens Notre Dame's cathedral towers 6 years after disastrous fire	France officially reopens Notre Dame's cathedral towers 6 years after disastrous fire And here I was thinking my life choices were questionable.
headline	-	-	A drug made from marijuana reduced back pain in a large study	A drug made from marijuana reduced back pain in a large study And here I was thinking my life choices were questionable.
headline	-	-	Shop Barbie dolls and toys to celebrate the timeless icon	Shop Barbie dolls and toys to celebrate the timeless icon And here I was thinking my life choices were questionable.
headline	-	-	“Break ups? They’re bloody hard!” - Richard Hogan	“Break ups? They’re bloody hard!” - Richard Hogan And here I was thinking my life choices were questionable.
headline	-	-	Nightmare bacteria' cases are increasing in the U.S.	Nightmare bacteria' cases are increasing in the U.S. And here I was thinking my life choices were questionable.
headline	-	-	‘Almost impossible to make profit’ - regional hospitality businesses	‘Almost impossible to make profit’ - regional hospitality businesses And here I was thinking my life choices were questionable.
headline	-	-	Live: Jess Hull breaks Australian record in blistering 800m semi	Live: Jess Hull breaks Australian record in blistering 800m semi And here I was thinking my life choices were questionable.
headline	-	-	The one change that workedI went to a festival by myself and made peace with being perimenopausal	The one change that workedI went to a festival by myself and made peace with being perimenopausal And here I was thinking my life choices were questionable.
headline	-	-	Democrats say administration refusing shutdown talks as president repeats threat of firings	Democrats say administration refusing shutdown talks as president repeats threat of firings And here I was thinking my life choices were questionable.
headline	-	-	Way more wind, solar and EVs: The mammoth task to reach the 2035 target	Way more wind, solar and EVs: The mammoth task to reach the 2035 target And here I was thinking my life choices were questionable.
headline	-	-	Famous for losing leads, the Chargers might finally be trusted as a title contender	Famous for losing leads, the Chargers might finally be trusted as a title contender Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Level up your business with Intuit QuickBooks’ AI Agents	Level up your business with Intuit QuickBooks’ AI Agents And here I was thinking my life choices were questionable.
headline	-	-	The Summer I Turned Pretty' headed to the big screen	The Summer I Turned Pretty' headed to the big screen And here I was thinking my life choices were questionable.
headline	-	-	American Express Platinum Card gets pricier and adds new perks, including a $400 dining credit	American Express Platinum Card gets pricier and adds new perks, including a $400 dining credit And here I was thinking my life choices were questionable.
headline	-	-	Noonan dreaming of FAI glory despite looming World Cup Soccer	Noonan dreaming of FAI glory despite looming World Cup Soccer And here I was thinking my life choices were questionable.
headline	-	-	Do you eat a meal in 20 minutes or less? It might be time to slow down	Do you eat a meal in 20 minutes or less? It might be time to slow down And here I was thinking my life choices were questionable.
headline	-	-	How to avoid period leaks - the pros and cons of cups, pants and tampons	How to avoid period leaks - the pros and cons of cups, pants and tampons And here I was thinking my life choices were questionable.
headline	-	-	Gladiator 2 is awful – no wonder it made Russell Crowe uncomfortable	Gladiator 2 is awful – no wonder it made Russell Crowe uncomfortable And here I was thinking my life choices were questionable.
headline	-	-	House-buying shake-up plan aims to cut costs and time	House-buying shake-up plan aims to cut costs and time And here I was thinking my life choices were questionable.
headline	-	-	The 3,000-year-old story hidden in the @ sign	The 3,000-year-old story hidden in the @ sign And here I was thinking my life choices were questionable.
headline	-	-	Kremlin-backed crypto coin moves $6bn despite US sanctions	Kremlin-backed crypto coin moves $6bn despite US sanctions And here I was thinking my life choices were questionable.
headline	-	-	Meghan makes surprise appearance at Paris Fashion Week	Meghan makes surprise appearance at Paris Fashion Week And here I was thinking my life choices were questionable.
headline	-	-	White House asks 9 universities to sign agreement to ensure access to grants and other federal benefits	White House asks 9 universities to sign agreement to ensure access to grants and other federal benefits And here I was thinking my life choices were questionable.
headline	-	-	Assistant teacher arrested after being accused of repeatedly using poop-smelling spray to stink up school	Assistant teacher arrested after being accused of repeatedly using poop-smelling spray to stink up school And here I was thinking my life choices were questionable.
headline	-	-	New IOC president shares what to expect from Winter Games	New IOC president shares what to expect from Winter Games And here I was thinking my life choices were questionable.
headline	-	-	Does your relationship have a swag gap, and is that always a bad thing?	Does your relationship have a swag gap, and is that always a bad thing? Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Literally speechless' - Father's pride on McPhillips win	Literally speechless' - Father's pride on McPhillips win And here I was thinking my life choices were questionable.
headline	-	-	Taiwan says it will resist pressure from US to relocate half of its chip production	Taiwan says it will resist pressure from US to relocate half of its chip production And here I was thinking my life choices were questionable.
headline	-	-	Clark-less Fever shock Atlanta to reach first WNBA semi-finals since 2015	Clark-less Fever shock Atlanta to reach first WNBA semi-finals since 2015 And here I was thinking my life choices were questionable.
headline	-	-	Australia signs key defence deal with Papua New Guinea Experts say the deal seeks to counter Beijing's growing influence, but PNG says it is not about China.	Australia signs key defence deal with Papua New Guinea Experts say the deal seeks to counter Beijing's growing influence, but PNG says it is not about China. And here I was thinking my life choices were questionable.
headline	-	-	Gear up for game day: Shop tailgating essentials for the ultimate fan experience	Gear up for game day: Shop tailgating essentials for the ultimate fan experience Honestly, that already sounds like the setup to a bad joke.
headline	-	-	The secret history of the Sacré-Coeur Basilica in Paris	The secret history of the Sacré-Coeur Basilica in Paris And here I was thinking my life choices were questionable.
headline	-	-	Move over, green lawns. Drier, warmer climate boosts interest in low-water landscaping	Move over, green lawns. Drier, warmer climate boosts interest in low-water landscaping And here I was thinking my life choices were questionable.
headline	-	-	How two blond suburban moms gave Democrats an answer to the rightwing media ecosystem	How two blond suburban moms gave Democrats an answer to the rightwing media ecosystem And here I was thinking my life choices were questionable.
headline	-	-	As teens turn to AI companions for support, experts share how parents can respond	As teens turn to AI companions for support, experts share how parents can respond And here I was thinking my life choices were questionable.
headline	-	-	A royal reception for Donald Trump in Britain	A royal reception for Donald Trump in Britain Honestly, that already sounds like the setup to a bad joke.
headline	-	-	How China is challenging Nvidia's AI chip dominance Beijing has urged local firms to use homemade chips. But is China ready to turn away from Nvidia? 10 hrs ago Business	How China is challenging Nvidia's AI chip dominance Beijing has urged local firms to use homemade chips. But is China ready to turn away from Nvidia? 10 hrs ago Business Honestly, that already sounds like the setup to a bad joke.
headline	-	-	China says it wants to protect coral reefs in South China Sea. Experts are doubtful	China says it wants to protect coral reefs in South China Sea. Experts are doubtful And here I was thinking my life choices were questionable.
headline	-	-	What we know about why Robbie Williams cancelled his show	What we know about why Robbie Williams cancelled his show And here I was thinking my life choices were questionable.
headline	-	-	Cracker Barrel saw a massive drop in customers and warns more is coming after failed logo redesign	Cracker Barrel saw a massive drop in customers and warns more is coming after failed logo redesign Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Will the government shutdown affect next year's election? Recent history provides clues	Will the government shutdown affect next year's election? Recent history provides clues And here I was thinking my life choices were questionable.
headline	-	-	Fat Bear Week kicks off: watch some of the contestants	Fat Bear Week kicks off: watch some of the contestants And here I was thinking my life choices were questionable.
headline	-	-	Here’s what dermatologists are saying about your skin care routine: Keep it simple	Here’s what dermatologists are saying about your skin care routine: Keep it simple And here I was thinking my life choices were questionable.
headline	-	-	Sydney McLaughlin-Levrone wins 400m world title, nearly breaks world record	Sydney McLaughlin-Levrone wins 400m world title, nearly breaks world record And here I was thinking my life choices were questionable.
headline	-	-	Want more friends? A better social life? Be like my 85-year-old buddy Gerry	Want more friends? A better social life? Be like my 85-year-old buddy Gerry Honestly, that already sounds like the setup to a bad joke.
headline	-	-	How faith-based support is helping Scouting America stabilize	How faith-based support is helping Scouting America stabilize Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Texas A&M president is stepping down after upheaval over classroom video	Texas A&M president is stepping down after upheaval over classroom video Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Landmark deal paves way for cheaper HIV protection jab	Landmark deal paves way for cheaper HIV protection jab Honestly, that already sounds like the setup to a bad joke.
headline	-	-	America is now one big bet on AI	America is now one big bet on AI Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Lily James leads a girlboss Social Network that is half film, half Bumble advert	Lily James leads a girlboss Social Network that is half film, half Bumble advert Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Arizona prisoner set to be executed apologizes, says he won’t seek clemency	Arizona prisoner set to be executed apologizes, says he won’t seek clemency Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Bjorn Borg: How the ice-cool king of Wimbledon descended into a secret life of drugs and alcohol	Bjorn Borg: How the ice-cool king of Wimbledon descended into a secret life of drugs and alcohol And here I was thinking my life choices were questionable.
headline	-	-	Blue states should come together to declare an emergency. Here’s how	Blue states should come together to declare an emergency. Here’s how And here I was thinking my life choices were questionable.
headline	-	-	Climate experts cast their verdict of Australia's 2035 targets	Climate experts cast their verdict of Australia's 2035 targets And here I was thinking my life choices were questionable.
headline	-	-	Chimps drinking a lager a day in ripe fruit, study finds	Chimps drinking a lager a day in ripe fruit, study finds And here I was thinking my life choices were questionable.
headline	-	-	Is The Ordinary’s $9 hyaluronic acid serum the answer to glowy skin?	Is The Ordinary’s $9 hyaluronic acid serum the answer to glowy skin? Honestly, that already sounds like the setup to a bad joke.
headline	-	-	ABC News anchors, correspondents to run 2025 New York City Marathon	ABC News anchors, correspondents to run 2025 New York City Marathon And here I was thinking my life choices were questionable.
headline	-	-	BaubleBar's iconic Halloween jewelry collection is 20% off now through Oct. 5!	BaubleBar's iconic Halloween jewelry collection is 20% off now through Oct. 5! Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Taylor Swift just got the perfect gift from Jordan North and Sian Welby	Taylor Swift just got the perfect gift from Jordan North and Sian Welby And here I was thinking my life choices were questionable.
headline	-	-	Powerful magnitude-7.8 earthquake shakes Russia’s far east Kamchatka region	Powerful magnitude-7.8 earthquake shakes Russia’s far east Kamchatka region And here I was thinking my life choices were questionable.
headline	-	-	HIVCheap supplies of HIV-prevention jab for poorer countries hailed as ‘genuine chance to end’ global epidemic	HIVCheap supplies of HIV-prevention jab for poorer countries hailed as ‘genuine chance to end’ global epidemic And here I was thinking my life choices were questionable.
headline	-	-	Have head lice? Don’t panic — here’s how to treat it	Have head lice? Don’t panic — here’s how to treat it And here I was thinking my life choices were questionable.
headline	-	-	FashionCan Gucci’s new designer bring the hot sauce and rescue fashion house from flatlining sales?	FashionCan Gucci’s new designer bring the hot sauce and rescue fashion house from flatlining sales? And here I was thinking my life choices were questionable.
headline	-	-	Blind dateThe restaurant staff reacted with glee when told them we were going on somewhere	Blind dateThe restaurant staff reacted with glee when told them we were going on somewhere And here I was thinking my life choices were questionable.
headline	-	-	Ignore the noise' - how World Cup favourites England can beat pressure	Ignore the noise' - how World Cup favourites England can beat pressure And here I was thinking my life choices were questionable.
headline	-	-	CanadaCry over spilt soy: Canada sushi shop refuses to dole out extra sauce for patrons	CanadaCry over spilt soy: Canada sushi shop refuses to dole out extra sauce for patrons And here I was thinking my life choices were questionable.
headline	-	-	Oh my God!': Orcas attack, sink another boat	Oh my God!': Orcas attack, sink another boat Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Jimmy Kimmel’s audience reacts to show being suspended	Jimmy Kimmel’s audience reacts to show being suspended And here I was thinking my life choices were questionable.
headline	-	-	Get The AP’s most compelling photographs sent directly to your inbox.	Get The AP’s most compelling photographs sent directly to your inbox. And here I was thinking my life choices were questionable.
headline	-	-	The exercise at least four times more efficient than walking	The exercise at least four times more efficient than walking And here I was thinking my life choices were questionable.
headline	-	-	Trolls mock me for having fewer viewers, Fortnite streamer Ninja tells BBC	Trolls mock me for having fewer viewers, Fortnite streamer Ninja tells BBC Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Former world champion sprinter Fred Kerley set to join no-testing Enhanced Games	Former world champion sprinter Fred Kerley set to join no-testing Enhanced Games And here I was thinking my life choices were questionable.
headline	-	-	Pumpkin-themed body products for self-care this fall: Shop lotions, scrubs and more	Pumpkin-themed body products for self-care this fall: Shop lotions, scrubs and more Honestly, that already sounds like the setup to a bad joke.
headline	-	-	World Athletics Championships 2025: Benjamin wins 400m hurdles gold; heptathlon and more – live	World Athletics Championships 2025: Benjamin wins 400m hurdles gold; heptathlon and more – live And here I was thinking my life choices were questionable.
headline	-	-	China outpacing US in Navy, commercial ship production	China outpacing US in Navy, commercial ship production And here I was thinking my life choices were questionable.
headline	-	-	White House scraps water expert’s nomination as states hash out Colorado River plan	White House scraps water expert’s nomination as states hash out Colorado River plan And here I was thinking my life choices were questionable.
headline	-	-	You don't need much space or sun to have a flourishing garden	You don't need much space or sun to have a flourishing garden And here I was thinking my life choices were questionable.
headline	-	-	How a Miami health care group is meeting homeless patients where they live	How a Miami health care group is meeting homeless patients where they live Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Father and son share a magic moment	Father and son share a magic moment And here I was thinking my life choices were questionable.
headline	-	-	The 'Nordic' escape you didn't know existed	The 'Nordic' escape you didn't know existed And here I was thinking my life choices were questionable.
headline	-	-	Top Wall Street exec warns of 1929-style crash - but only after massive gains in the short term	Top Wall Street exec warns of 1929-style crash - but only after massive gains in the short term And here I was thinking my life choices were questionable.
headline	-	-	Plastic nanoparticles found inside edible vegetables for first time	Plastic nanoparticles found inside edible vegetables for first time Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Power rankings for the best – and worst – airports in the US and Canada	Power rankings for the best – and worst – airports in the US and Canada Honestly, that already sounds like the setup to a bad joke.
headline	-	-	New French PM resigns hours after cabinet unveiled	New French PM resigns hours after cabinet unveiled And here I was thinking my life choices were questionable.
headline	-	-	Comedy hosts including Jon Stewart, Stephen Colbert criticize Kimmel's suspension	Comedy hosts including Jon Stewart, Stephen Colbert criticize Kimmel's suspension And here I was thinking my life choices were questionable.
headline	-	-	Ryder CupUSA need Bethpage glory to escape pay-free Europe’s money talk	Ryder CupUSA need Bethpage glory to escape pay-free Europe’s money talk And here I was thinking my life choices were questionable.
headline	-	-	There are immediate steps that we can take to consolidate our single market	There are immediate steps that we can take to consolidate our single market Honestly, that already sounds like the setup to a bad joke.
headline	-	-	Jon Bon Jovi gets candid about becoming a grandfather: ‘It’s crazy, but great’	Jon Bon Jovi gets candid about becoming a grandfather: ‘It’s crazy, but great’ And here I was thinking my life choices were questionable.
